,username,comment,date,likes
120,@dudetocartman,1:27-1:31 is the confident way to get someone to be quiet.,il y a 1 an,"2 ""J'aime"""
121,@AJ-rd4ng,"Amazing. Love him, what a king",il y a 3 ans,"12 ""J'aime"""
122,@MaasHomes,I miss the days when we had a President who cared about Americans.,il y a 6 mois,"13 ""J'aime"""
123,@Budtuhrdhj,“These aren’t actors they aren’t from Hollywood”,il y a 2 ans,"760 ""J'aime"""
124,@moneygemz5887,"“Go ahead “
Points randomly anywhere just to slam the poor guy again
Lol",il y a 1 an,"1 mention ""J'aime"""
125,@blackout9587,“Thank you for telling me that I appreciate that.”,il y a 2 semaines,
126,@mayurraut9610,I like the way he grill reporters,il y a 11 mois,
127,@matthew_dag6201,Give my man credit he stood his ground and asked his question,il y a 2 ans,"8 ""J'aime"""
128,@You000tubeuser,His roasting is always on point,il y a 2 semaines,
129,@meteturan1,"We need engineers not drug sellers"" thats what Trump means",il y a 4 ans (modifié),"1,3 k ""J'aime"""
130,@stevenneely3906,Exactly Mr. President. People need to go into countries the right way,il y a 3 ans,
131,@mg19cal,"Never understood why a president was so concerned with ""ratings"" like THAT is an important part of running the country",il y a 2 ans,
132,@ericflames,I wish he made security drag him out. I would've grabbed my popcorn,il y a 4 semaines,"2 ""J'aime"""
133,@ngalahansel6066,"""And the way you treat other people ARE horrible""! POTUS's grammar lol",il y a 2 ans,
134,@honewhetstone1732,"“They didn’t come from Hollywood”

“Let me run the country, you run CNN”",il y a 11 mois,"6 ""J'aime"""
135,@MichaelWright-qu6ou,That reporter is like that annoying kid in class that never shuts up,il y a 3 ans,"223 ""J'aime"""
136,@rahulbnair8398,"I would have really appreciated had it been against  ""Guardian News"", as they always have the habit of reporting lies about India.",il y a 3 ans,"1 mention ""J'aime"""
137,@bradical10e88,He’s not afraid of the press and their lies. Thank you Mr. President!,il y a 5 mois,"1 mention ""J'aime"""
138,@notyoureverydaycultist2579,"""We have never seen anything like this before, people.""",il y a 11 mois,"2 ""J'aime"""
139,@ghost_g.o.d,"""That's enough""  simply means give time for another to talk.  Do not be greedy.  I sincerely think he got what he is.",il y a 6 mois (modifié),
140,@bobbyray464,best stand up comedian ever,il y a 1 an,
141,@helenasmith2906,Like his policies or not. I do like trump's straight forward talking. And that reporter crossed the line.,il y a 3 ans,"516 ""J'aime"""
142,@dylan9298,I miss Trump just for how much of a spectacle he was. Maybe he wasn't the brightest guy but lord was he entertaining,il y a 11 mois,"1 mention ""J'aime"""
143,@musicjonk2701,Well done President Trump. You are sincere and honest. People have been so hard on you for trying to change things for the better.,il y a 3 ans,
144,@SuperAss29,Such a great and smart president I miss him and it’s time he comes back.,il y a 1 an,
145,@SILUX1,"Just imagine this reporter asked question again and again to a dictator.

After the interview the reporter is missing",il y a 1 an,"5 ""J'aime"""
146,@standstrongwwg1wga235,I can’t stand that reporter He’s a nuisance you’re right he’s just like one of those kids it won’t quit talking when the teacher says stop talking,il y a 3 ans,"38 ""J'aime"""
147,@adachaadacha7483,"We need more brave journalists like this who are not just reporting from one side of the story but from a different point of view, we may be heading back in times of dictators if we choose to only have a certain group of people only heard",il y a 3 ans,"2 ""J'aime"""
148,@Mina-px3zb,His body language speaks volumes  like why does he act like he is in a movie. Truly thinks the world is centered around him.,il y a 3 ans (modifié),"2 ""J'aime"""
149,@onceagain6184,3 years later and this country is still being invaded !,il y a 1 mois,"2 ""J'aime"""
150,@kenburns4547,"Normally when the US President points at you and says ""THAT'S ENOUGH,""  people know that means to SHUT UP.
At CNN, they think it means ""go head with your question, everyone wants to hear it including me.""",il y a 3 ans,"2 ""J'aime"""
151,@Nationalsloppy63,“attacks” is a excessive lol. a disagreement is not an attack. and he was pushing much too hard to expect a positive reaction.,il y a 11 mois (modifié),"1 mention ""J'aime"""
152,@Patchy23,"""Trump attacks cnn reporter"" no the reporter was attacking him by the looks of it, the reporter literally caused a scene",il y a 3 ans,"806 ""J'aime"""
153,@iain7418,President Trump is a truly amazing person,il y a 3 mois,"4 ""J'aime"""
154,@jennifergirling6850,That CNN reporter asks another question when Trump already said I want to hear from other reporters. The CNN reporter keeps standing up & hammering Trump with questions & statements while not allowing other reporters to talk. Yes that is so rude. He's not the only reporter in the room.,il y a 2 ans,
155,@nicholaslepore2789,i can watch this 100 times. love it,il y a 2 ans,"32 ""J'aime"""
156,@Harkness197,He's an absolute lad!,il y a 8 mois,"2 ""J'aime"""
157,@rt1110,He was legit intimidated when Trump stepped out from the stand,il y a 1 an,
158,@chicatita12,"I am an inmigrant, and this time he is right",il y a 11 mois,"2 ""J'aime"""
159,@knoxy3514,Why doesn’t the guardian title this “attacks male reporter”. Like how they always include the word “female reporter” if it’s a female reporter,il y a 3 ans,"1,5 k ""J'aime"""
160,@cherish9493,That reporter is no bueno - I would have trouble holding my temper in Trump's position.,il y a 2 ans,"8 ""J'aime"""
161,@t-legit9066,He is one of the honest presidents In ventures to exist and tell it as it’s bc now everyone wants to pretend that everything is perfect and that they are okay. There a lot of things that I disagree with him but I like the fact that he is speaking his mind and not afraid to hide it,il y a 3 ans,"2 ""J'aime"""
162,@vernmexico,"Trump is so polite even when making these remarks, he could say so much worse...lol",il y a 2 ans,"7 ""J'aime"""
163,@samuelsmith5400,Gosh I miss this guy,il y a 1 an,
164,@SUPERNOVA0360,Being called out by the U.S. president,il y a 3 ans,"980 ""J'aime"""
165,@eightinches6094,"If Trump goes back and watches the re runs of his press conferences, like this one, he'll realize why the public, and the media, began to hate him and why he lost the election. When he's cornered he can't answer the tough questions. He breaks under pressure.",il y a 1 an,
166,@stuartbell3652,1:15 the best line of his Presidency,il y a 3 ans,"3 ""J'aime"""
167,@lonestar1068,I like nothing this man stands for except his bold honesty calling out on a lying media,il y a 1 an,
168,@bettersteps,"""Thank you for telling me that. I appreciate it.""  Trump is so FUNNY!  I love him.",il y a 3 ans,"7 ""J'aime"""
169,@ImHerobrine,"""Trump attacks Reporter""
Didn't think talking to someone is equivalent to attacking someone",il y a 11 mois (modifié),
170,@doodbool3719,trump was actually pretty civil,il y a 4 ans,"30 ""J'aime"""
171,@GurpreetSingh-uh8vj,This is called real journalism,il y a 3 ans,"1 mention ""J'aime"""
172,@liberphilosophus7481,Craziness that this man tries to start a political debate with Trump at a news conference.,il y a 1 an,
173,@AudriusMikalajunas,I miss him so much. Not many neomammalians are left and especially leading the world forward first time after many decades.,il y a 9 mois,
174,@endmjwknj,"""Trump attacks"" it sounds to me like ""reporter keeps at it without respecting any limits and after a long time the president answers accordingly because he is a human as well"".",il y a 11 mois,
175,@dancingverum,Instant Karma face to face! An enjoyable moment when others don’t respect boundaries!,il y a 11 mois,
176,@sea-snake8315,"""if you did it well your ratings would be much better""",il y a 4 ans,"185 ""J'aime"""
177,@ryanhawley9501,If you watch this from the other angle you can see how he jerks the mic out of the ladies hand and obviously upsets her. That is one of the main reasons trump was so mad and said what he did,il y a 3 ans,
178,@themudaman9767,The reporter is speaking facts,il y a 3 ans,
179,@woozy96,Girl snatched the mic like a little kid. lmao,il y a 1 mois,
180,@beargreen873,He must've been so embarrassed and I'm sure fired in front of the whole company. Literally the President of the United States calling you out. WOW,il y a 1 an,
181,@bobmiller5598,I love Mr Trump,il y a 7 mois,"7 ""J'aime"""
182,@mickaelcyr5565,He’s actually saying the truth,il y a 3 ans,"74 ""J'aime"""
183,@lilsamantha1,"he is such troll, love him.",il y a 2 ans,"1 mention ""J'aime"""
184,@stephenodoom2335,"Just like hon. Ken agyapong, outspoken. Always speaking his peace of mind",il y a 2 ans,"1 mention ""J'aime"""
185,@user-fg5wc5rr1e,We need him back,il y a 6 mois,"2 ""J'aime"""
186,@abuabdullah9878,"""Thank you for telling me that. I appreciate it.""",il y a 2 mois,
187,@drgunjanchaudhary5689,You have to understand facts why he is telling you that ️,il y a 1 an,
188,@lautarolencina5353,1:47 I loved that lady that took the mic right off that so called reporter,il y a 2 ans,"46 ""J'aime"""
189,@mattirunga2789,I'm an italian guy and during the presidence I loved Trump a lot...he is a rought guy ...he can stay close to people but he still keeps the distance from people like the reporter ... I'm so disappointed because of the missing of the second presidence...what do you think?,il y a 2 ans,"1 mention ""J'aime"""
190,@s-rankisekai2425,"the title sounds sensationalised, really. its a huge difference between ""attacks CNN reporter"" and ""rebukes CNN reporter""",il y a 3 ans,"2 ""J'aime"""
191,@ms.fortune2957,"Firstly, it's rude to try and publically challenge your authority figure.  This reporters first sentence was asking for trouble.  NO THE REPORTER WAS RUDE & ATTACKED THE PRESIDENT!!  smh",il y a 8 mois,"2 ""J'aime"""
192,@geoden,"Having studied American politics for the past six or seven months now, I think I can say that Trump has defiled
and damaged America in the eyes of the entire world. My American friends, you have my sympathy.",il y a 3 ans,"1 mention ""J'aime"""
193,,He's actually talking about himself,il y a 1 mois,
194,@williammasters1620,Finally a conservative who fights back against the media,il y a 3 ans,"160 ""J'aime"""
195,@ryanwohlgemuth7241,Get it Donald. You're a rockstar!,il y a 3 ans,"1 mention ""J'aime"""
196,@bernardm.3205,I can't wait until he's thrown in jail!,il y a 4 mois,"2 ""J'aime"""
197,@RxTx88,The man himself ️,il y a 5 mois,"2 ""J'aime"""
198,@wackywilly6969,The real terrible people are the guardian saying trump was attacking CNN he was clearly being abused by the reporter and he was awnsering the question until the rude reporter would sit down and SHOVED the woman who wanted the mic back he should have been dragged out of the building.,il y a 1 an,"1 mention ""J'aime"""
199,@beatsmithx1090,I'm not a trump guy but that gave me goosebumps,il y a 3 ans,
200,@malsawmkhawzawl4664,There should be certain things that the public should not know the work of the government and their plans for the security of the nation .,il y a 2 ans,
201,@jacktravis7179,"Ya gotta love the dramatic headlines....... attacks reporter ? Based on that , I expected him to jump down from the podium  !",il y a 11 mois,"1 mention ""J'aime"""
202,@kenklein9228,"""That's enough"". I love it.",il y a 2 ans,"4 ""J'aime"""
203,@beijingbrandon6220,I miss him.,il y a 1 an,
204,@Z0mbify,"If that was Obama.

That would be a whole different story",il y a 3 ans,"461 ""J'aime"""
205,@amyhill6619,Be blessful and Grateful dont judge the book by its cover especially when they naturally bless u,il y a 3 ans,"3 ""J'aime"""
206,@saratchandramv1886,"If Trump was my grandfather, i would spend alot of time with him learning the art of speech. No matter how many complicated questions you face.. dont get fazed. Come on top. Command and charsima.",il y a 2 mois,"1 mention ""J'aime"""
207,@limpu3891,you can't stop this man,il y a 9 mois,"1 mention ""J'aime"""
208,@normabarney5896,"He didn't attack the reporter, he just defended himself because after 4 years of constantly daily mistreatment he had enough of their disrespectful routine.",il y a 2 ans,"1 mention ""J'aime"""
209,@gabriellastephanie8045,1:58 When the teacher needs to see a student for detention for disruptive behavior.,il y a 1 an,"1 mention ""J'aime"""
210,@matthewwtheman,this is the first time I ever agree with trump.,il y a 2 ans,"149 ""J'aime"""
211,@madangel9691,"I believe it is not necessarily what President Trump says it's how he says it.He definitely should be more classy and lead by example, but again those days are gone now. He's just a reflection of what society has become nobody has respect for each other regardless of titles or positions. Yet everyone wants Respect and they want to be RIGHT. Not everyone can be Right if that's the case then who's going to be wrong.",il y a 3 ans (modifié),
212,@stephanesegaert2827,"Well done Mister President !
All our support from France .",il y a 2 ans,
213,@turin2,"He is actually a Rude, Terrible person. CNN summed up in a single person. He's a Wish version of Jay Leno",il y a 11 mois (modifié),"3 ""J'aime"""
214,@truthreallyupsetsmostpeopl759,Nobody can stop him when he gets that way that's why he's GREAT.,il y a 8 mois,"1 mention ""J'aime"""
215,@javianjohnson8746,Lol 1:46 Trump was about to give buddy a right-hook,il y a 1 mois (modifié),"1 mention ""J'aime"""
216,@johnb2609,1:50 she took his Mic so quick!!,il y a 2 ans,"326 ""J'aime"""
217,@salehbayram7046,"TBH Trump is right, the reporter had his turn and it was done yet he still interrupted other reporters and continued asking questions despite Trump's refusing to answer

This is not freedom of journalism thats rudness and unprofessionalism",il y a 2 ans,"3 ""J'aime"""
218,@jcrewchick,I feel like if Obama acted like this it would be a HUGE problem people would want him out of office,il y a 3 ans,
