username,comment,date,likes
@gulfwhiskeyiv9314,So could he have been considered an imminent threat because he was in possession of the officers Taser and he could have used it against the officer to acquire the officer's service pistol which could have possibly resulted in the death of both officers and possibly innocent bystanders?,3 years ago,0
@zeusincoming282,"I wonder why an employee couldnt have just went out and knocked on his window. Ive worked a Slow drive thru window before and people do doze off!  I just went out and knocked on glass, and that usually solved the problem!. I could see if I knocked and the person was unresponsive,but cleary, this wasnt the case.",3 years ago,0
@ebttt,We should not over react. I believe they tried to do the right thing. Try to put yourself in their shoes.,3 years ago,0
@pierrebibeau9861,"Although he did not need to be killed, I will always wonder why he ran.",3 years ago,0
@silvergeist43,Wow! I didn't know drunk driving got you the death penalty.,3 years ago,7
@digitadigita3578,"Some shootings are just hate and unprovoked.  But most of these cop shootings involved some kind of struggle and running away.  Brooks struggled and fight his way including grabbing the police taser.   Even if Brooks is patted down and has no weapon on him.  Once he stole the taser, he can use it on the officer and then grab his gun.    Travon Martin also fought and tried to grab the gun away.   In the video, George Floyd also resisted and struggled with the police several moments before being kneed to death..  But these has a cause and effect, despite its overuse of force.  It may be the police force policy or training that made cops do this when the suspect is not complying.",3 years ago,0
@sebastiaanbakker3319,In more civilized countries we use actual scientific tests to determine whether someone is drunk or not. Making people do humiliating 'exercises' is ridiculous. And this guy gets shot because of it. Human life deserves more respect.,3 years ago,6
@davidraimundo7554,"The commentator is correct about the  use of  deadly force, irregardless of what transpired before.  While the officers had at their disposal the use of overwhelming force, the suspect did not. A taser doesn't qualify.  However, with that being said, once an officer is incapacitated with a taser then, access to his firearm is possible.",3 years ago,0
@tacotuesday1781,All these people out there think it's okay to shoot a man in the back while he's running away from you. Damn.,3 years ago,0
@paulh.2144,The whole point here is STOP RESISTING ARREST!!!,3 years ago,1
@toriantobryant7516,We got to do better we got to think before we act,3 years ago,49
@sawdust6148,"I could have understood if the officer shot once in the legs to disable the guy and subsequently detain him. BUT HE SHOT HIM 3 FREAKING TIMES!! 3 TIMES!!

YOU DON'T SHOOT SOMEONE 3 TIMES UNLESS YOU INTEND TO KILL! THESE OFFICERS ARE TERRIBLY TRAINED",3 years ago,0
@MyMotherWasaNinja,"The bias is always in the edit. Provide the full footage for the public to decide. This is what transparency, truth and credibility demands.",3 years ago,0
@whatabouttheearth,"He might of been drunk and when they were gonna cuff him he drunkenly thought ""heres my chance to dip"", as any self respecting drunk person would at least think of.",3 years ago,0
@glenmassey3746,"That was beyond unnecessary, even if he had grabbed the stun gun he fired it rendering it useless, and they had the car, which made finding him easy. There was no reason to even consider him a threat that was basically see a man go down unload your weapon.",3 years ago,0
@timildeepsPlatformgaming,"I saw an individual resisting arrest then after that its anybody's guess. The individual might have been reaching for an officer's gun/taser during the scuffle. The point is he broke the law, it could have been all avoided if he just complied, and not resisted.",3 years ago,0
@debiekins4108,They had his car that could be traced to him and an arrest could have been made later. The chase and shooting was absolutely unnecessary,3 years ago,59
@katrinamail2me,"They left out the non important part of the suspect taking the tazer from the officer, running away, and then firing the tazer at the officer.  That video was released before this one.",3 years ago,0
@Logan-0120,Although this is an example of what a suspect should never do because it's asking to be shot. What a cop has to remember is that if someone is running away from you and you shot them than you're killing in retaliation to them resisting you! The officer is not shooting the suspect in fear of his own survival!,3 years ago,0
