username,comment,like,date,comment_length
BlessedIndeed1,I was pinched for DWI over 30 years ago by 2 white cops I was polite and listened to their commands I ran a red light and was pulled over They were justified in pulling me over Went to the station and met the lieutenant A gentleman who treated me with respect He was doing his job Did I curse him or threaten him or his officers No They noted this to the judge I still had to pay a price Yet I am alive today to speak about it,0,2020-11-13 10:40:59.345294,438
bananascoconutvr3271,"And this is the attitude of so many shoot someone if theyve done you wrongif someone runs away  with your walletpurse do you shoot them
How you answer determines what side of humanity  you really are on 
Awful and another example of why we need complete overhaul of the justice system",9,2020-11-13 10:40:59.345294,303
JeremiahMuchangi,"Traffic offenses in some developed countries are handled by CCTV and mailed fines 
However a minor traffic violation like a bad light bulb is likely to get guns drawn and unnecessary interactions with multiple police units turning up in gun republic",0,2020-11-13 10:40:59.345294,252
SteveReason82,If he was in Wendys drive thru what was the point of checking his person They could of simply told him that hes  drunk and that he either needs to call for a ride home or stay the night in his car at the Wendys until he sobers up Why were they trying to arrest him if he wasnt even on the road driving,0,2020-11-13 10:40:59.345294,309
michaelsuder3956,Im wondering if he had a little something on him that he shouldnt have A DUI isnt a huge offense  especially when youre just sitting passed out in a drive through,0,2020-11-13 10:40:59.345294,168
Jeff-kw8jj,The suspect held all the power in regards to what happened during the investigation   At any time he could have submitted  Too many suspects believe they can stop an arrest they cannot  Submit to the arrest and fight the charges laterif you dont think you should be arrested DO NOT FIGHT TALK TO OR RUN FROM THE OFFICER IT IS NOT THE TIME,0,2020-11-13 10:40:59.345294,351
sue9038,We all are free to choose our sins  not the consequences  of those sins,0,2020-11-13 10:40:59.345294,73
mrphysics2625,"amazing how so many ppl claiming its just a taser that he stole dont seem to know what happens to a person that gets tased

he aimed it back at the cops while running away which is shown on the wendys security camera footage",31,2020-11-13 10:40:59.345294,228
MrDank132,If he had cooperated he would still be alive They were treating him with respect until he tried to run and then shot at them with the tazer He shouldnt have been shot but honestly thats what theyre trained to do so its not their fault Its the laws and training in that area Why did he run,55,2020-11-13 10:40:59.345294,298
JohnOhkumaThiel,Im on the side of the victim overall but from what Im seeing both in these videos and others is that everything was fine until they tried to put the handcuffs on him then he resisted grabbed the cops taser pistol took it ran pointed it back at the officer that was chasing him with the intention to tase him and then he was shot with a firearm,1,2020-11-13 10:40:59.345294,354
bri9146,If they didnt want to deal with it that day they could have said  call somebody to get you a lot of people get junk and fight all the time They have no judgement He had no weapon but taser,0,2020-11-13 10:40:59.345294,195
karyn19,Imminent threat includes him incapacitating an officer with the tazer and then possibly gaining posession of the service weapon Split second like that he had already showed himself to be willing to steal a weapon and use it,12,2020-11-13 10:40:59.345294,226
bekind5044,I wasnt there but I think the officer should have offered him a ride home Perhaps ask the driver to call for a ride and tow his car  Just trying to arrest wasnt the answer  I understand he was drunk but he was not not diving at the time of incident sleeping in the car  God help us as a Nation,1,2020-11-13 10:40:59.345294,302
metallicak5,The guy fired a taser at the police At that point youre in the wrong buddy,16,2020-11-13 10:40:59.345294,79
jasonargonaught8744,I dont know if anyone is catching it but the cop who was chasing him had already stuck his taser cables into Brooks It looked like he was running with those attached and at some point he pointed the taser that he grabbed as a way to ward off by maybe trying to distract the cop so he could put distance between them I also am wondering from some of the other footage it looks like the cop pulled out his taser and hit him with it and Brooks grabbed it to keep it from being used against him Then decided that it might be best to take it with him as he ran away so that it couldnt be used to electrocute him as he fled,0,2020-11-13 10:40:59.345294,624
tonyb9185,You do not have to do the field sobriety testas you can fail it for normal reasonsthey can not make you do it,0,2020-11-13 10:40:59.345294,111
Usernameusername206,Why resist arrest If you are innocent sort it out at the jail People think oh Im going to get physical and they will let me go Stupid,1,2020-11-13 10:40:59.345294,143
sas9577,I applaud the officers for the way they handled this You dont resist arrest because youre drunk He even assaulted the an officer while trying to be contained and stole a taser and fired it upon the officer  Everyone who thinks this was handle wrongly what if the story changed and the person driving drunk hit and killed someone then what The outcome is sad but the person should of just went to jail his actions caused him to end up being shot and now hes dead,0,2020-11-13 10:40:59.345294,470
Strength_In_Wisdom,I dont know how many have seen this story on CNN But the cars moved after rayshard was shot once The same officer proceeded to walk  his way to Rayshard Brooks still living body and shot him in the back again,0,2020-11-13 10:40:59.345294,214
tlhaloyn8485,Let that man run away You have his car and his info Dont shoot that man in the back for a minor or major offense,64,2020-11-13 10:40:59.345294,116
belescli,Even if he had a gun why do they shoot at him Why cant they run after him or just let him go They have his car there to get his identification so that they can deal with him later  How sick is the mind of police to think they can just shoot someone because a person did not subject to them Sick,0,2020-11-13 10:40:59.345294,304
JavierFernandez01,This makes sense I was struggling with this one But that last 20 seconds or so really drove the point home,1,2020-11-13 10:40:59.345294,109
thomwessels2281,Just terrible that lethal force was used If he just wasnt drunk blocked a business failed a FST resisted arrest fought with them to get away TOOK THE LEOs TASER FIRED IT AT HIM while fleeingnone of this would have ever happened,1,2020-11-13 10:40:59.345294,240
petergraziano5146,In Canada hear they usually first will block his car so heshe cant drive off then they will ask questions while you are in the car At no time do they allow you to get out of the car until more officers arrive At that point they might put handcuffs on you for the safety of both parties It was wrong of them asking him to get out of his car before asking him questions,0,2020-11-13 10:40:59.345294,373
socialbuttfli78,In this day and age it is NOT beneficial to your health to run from the cops AND fire a taser at them  The cops shouldve just caught up with him later on when he came home to make the arrest His life saved and money in their pockets,0,2020-11-13 10:40:59.345294,236
zebontheweb,I like drinking but I dont get behind the wheel when I do it  Dude was so drunk he fell asleep with the car running  At that point the police have to do something and you have to admit theres a problem,31,2020-11-13 10:40:59.345294,210
youjunshi5329,Holy shit What a tragedy,0,2020-11-13 10:40:59.345294,26
callmecaution1,How people are saying that the police shot him because he is black is absolutely mindblowing to me They gave him 3 opportunities to pull into a parking space without a breathalyzer Dude totally escalated the situation on his own,0,2020-11-13 10:40:59.345294,231
robinsmith979,They had a reason to shoot him during the fight but they had no reason to chase him and shoot him down since they had his ID Its not self defense if you chase and kill a person whos in possession of a non lethal weapon while you have a gun,9,2020-11-13 10:40:59.345294,243
daphnewheeler470,Why didnt they show the part where he was speaking to them admitted that he had a couple drinks told them he had no problem walking home and that his sister lived close by He tried to reason with them and they still insisted on arresting him,0,2020-11-13 10:40:59.345294,246
loudbeep,If you watch the full video from the Wendys camera the officers chased him down on foot and only shot at him after Brooks discharged the taser at them and headed for a car in the drive through,0,2020-11-13 10:40:59.345294,195
Faisal600,This is another reason why cops should be trained on deescalating situational procedures and communication,27,2020-11-13 10:40:59.345294,106
sebastiansoto9972,The Chief mentions the protocol for when deadly forced is authorized via policy that stems from Tennessee v Garner if you want to read up on it All he had was 1 shot of the officers own taser should not have escalated to the point it did It was a bad shooting per policy which is why it was a clear cut case for the police to have him turn in his badge and face charges,0,2020-11-13 10:40:59.345294,377
scottishroad_pinoy9084,In fear of imminent to your life or the life of another to use deadly force All cops should know that We took the same test before going into law enforcement Common sense and a heart is whats lacking What clouds these cops minds are power behind the uniform and their guns Their true characters shows No one used their heads sad a life is gone,2,2020-11-13 10:40:59.345294,354
kevinlangford7059,Funny how they cut off 40 minutes of these officers going out of their way to be nice to this guy It also showed just how drunk this guy was,12,2020-11-13 10:40:59.345294,142
dereka.2507,He couldnt have been that drunk if he was asleep at the drive through of Wendys Now if you found someone in the drive through Taco Bell asleep after ordering a Crunchwrapthat person is beyond drunk falling asleep after having placed such a dank order,0,2020-11-13 10:40:59.345294,255
Numbuh161588,So the guy fought the police when they tried to put handcuffs on him after being passed out drunk in a drivethru got tazed and still ran off Then the other camera angle from Wendys shows him take something from a cop and point it at them while trying to escape Seems like a pretty bad guy to me Id expect to be shot if I did the same things he did,0,2020-11-13 10:40:59.345294,355
jeanbedessounda3571,saying you have no weapon really doesnt mean anything anymore,86,2020-11-13 10:40:59.345294,64
scetchmonkey007,The real problem is two police officers should of been able to overpower him and subdue him Instead they lost their tazer in the fight and he did try to use it against them,0,2020-11-13 10:40:59.345294,175
keybraker,"First of all he was o  private property a drive through if I am not mistaken which means that the cops have no authority to be there even if he is sleeping and over the influence of alcohol
The fact that they shoot him because he did not want to go to jail for a crime that is punished by a ticket is no reason to shoot him leathaly they should try and catch him or seize the car after all he would eventually come back for it",1,2020-11-13 10:40:59.345294,434
asaspayde7259,Have YOU seen the transcript  It was NOT over 20 bucks   He was outta his mind The clerk was genuinely  concerned  for him,0,2020-11-13 10:40:59.345294,131
parappasan,I dont know if this is actually on the cops  You cant allow someone to struggle or flee when arresting them even if you must shoot them regardless of the offense  Someone could have shoplifted a loaf of bread but he tries to take your sidearm or run away theres no choice,1,2020-11-13 10:40:59.345294,278
steelcitysteve8794,Some people are sick in the head Dui resisting arrest and assault on a police officer are all crimes and he should have received 2 to 8 years in prison depending on the judge Not a death sentence on the spot No man should be judge jury and executioner as that cop chose to be,1,2020-11-13 10:40:59.345294,280
lewismorris5931,They sure cut that clip off quick,134,2020-11-13 10:40:59.345294,34
XavierDarkhand,"Saw the whole clip this one is marred with speaking over it making it difficult to get a clear picture
The cops werent racist or hostile they were actually very polite So was the victim Its awful because all parties were super chill until the final split second the guys decision process went south",10,2020-11-13 10:40:59.345294,308
markparfett5380,I am seeing 3 things here 1 police competence 2 Police incompetence 3 A felon who makes a bad decision to run The cops checked that he didnt have a weapon How did he think he was gonna get away with not being arrested and then try and run and leave behind his car He is gone now but demonstrates that each party must take some responsibility,0,2020-11-13 10:40:59.345294,349
avitia38super,He seems to be standing on one leg just fine,0,2020-11-13 10:40:59.345294,45
pamelawing626,Gotta love that alcohol  Im thinking as I watched it what in gawds name do you think you  are doing  He should not have been shot they had his license knew where he lived they should have let him go,0,2020-11-13 10:40:59.345294,216
jacksmith5692,I watched the entire video multiple times and was shocked how professional that the cops were They bent over backwards being professional to a guy obviously impaired and the number that he blew proved that In other words the guy was bombed and then instead of him complying he acted aggressively grabbing the taser gun and now the cops feared if they were hit and down he could have grabbed the gun and killed them,0,2020-11-13 10:40:59.345294,418
Irish_all_day,You guys need to post whole videos For clarity I was talking about the rest of the commentators opinion,271,2020-11-13 10:40:59.345294,105
kingcolga266,Taser in United States is not considered a deadly weapon and also the guy was running away and he didnt even really aimed at the police just shot the taser behind him and kept runningThe cop cant even say he fear for his life because he chased after the guy and gunned him down First Degree Murder Premeditated if anything they should just let him go they had his information his license plate his face and his name and they couldve just picked him up later and took him to jail Im a lawyer here in Georgia,0,2020-11-13 10:40:59.345294,520
beckamiller4900,When someone is driving while intoxicated fighting police officers running and firing a taser at the officer in pursuit he was an imminent threat to the officers the public and himself before he stepped out of his vehicle,9,2020-11-13 10:40:59.345294,227
geoycs,Exactly You have to be in fear of your life or protecting the life of someone else if you are to use deadly force You cant just shoot a drunk guy because he panics and runs away When the FUCK are these cops going to actually get it through their heads that this kind of policing is wrong,0,2020-11-13 10:40:59.345294,293
ahauntedplace,Its just another day at the office for these guys smh so sad Shoot an impaired man in the back because he pointed a taser off to the side low to the ground The man would have clearly missed  you fire 3 rounds at damn near point blank range He is a human being Did everyone else see the cops face while he was questioning him He better get prosecuted,0,2020-11-13 10:40:59.345294,364
workisworktv7831,He took one of the officers tasers and ran Just not caught on this clip that they showed,62,2020-11-13 10:40:59.345294,90
danniboi82,He shouldve complied and the police shouldnt have used a damn gun in that kind of situation period,40,2020-11-13 10:40:59.345294,102
kyle9438,He drove under the influence fell asleep in his car resisted arrest punched the police stole a taser upon fleeing turned and fired the taser at the police officer who no longer had the less lethal taser option,0,2020-11-13 10:40:59.345294,215
gulfwhiskeyiv9314,So could he have been considered an imminent threat because he was in possession of the officers Taser and he could have used it against the officer to acquire the officers service pistol which could have possibly resulted in the death of both officers and possibly innocent bystanders,0,2020-11-13 10:40:59.345294,287
zeusincoming282,I wonder why an employee couldnt have just went out and knocked on his window Ive worked a Slow drive thru window before and people do doze off  I just went out and knocked on glass and that usually solved the problem I could see if I knocked and the person was unresponsivebut cleary this wasnt the case,0,2020-11-13 10:40:59.345294,312
ebttt,We should not over react I believe they tried to do the right thing Try to put yourself in their shoes,0,2020-11-13 10:40:59.345294,105
pierrebibeau9861,Although he did not need to be killed I will always wonder why he ran,0,2020-11-13 10:40:59.345294,71
silvergeist43,Wow I didnt know drunk driving got you the death penalty,7,2020-11-13 10:40:59.345294,59
digitadigita3578,Some shootings are just hate and unprovoked  But most of these cop shootings involved some kind of struggle and running away  Brooks struggled and fight his way including grabbing the police taser   Even if Brooks is patted down and has no weapon on him  Once he stole the taser he can use it on the officer and then grab his gun    Travon Martin also fought and tried to grab the gun away   In the video George Floyd also resisted and struggled with the police several moments before being kneed to death  But these has a cause and effect despite its overuse of force  It may be the police force policy or training that made cops do this when the suspect is not complying,0,2020-11-13 10:40:59.345294,685
sebastiaanbakker3319,In more civilized countries we use actual scientific tests to determine whether someone is drunk or not Making people do humiliating exercises is ridiculous And this guy gets shot because of it Human life deserves more respect,6,2020-11-13 10:40:59.345294,232
davidraimundo7554,The commentator is correct about the  use of  deadly force irregardless of what transpired before  While the officers had at their disposal the use of overwhelming force the suspect did not A taser doesnt qualify  However with that being said once an officer is incapacitated with a taser then access to his firearm is possible,0,2020-11-13 10:40:59.345294,337
tacotuesday1781,All these people out there think its okay to shoot a man in the back while hes running away from you Damn,0,2020-11-13 10:40:59.345294,109
paulh.2144,The whole point here is STOP RESISTING ARREST,1,2020-11-13 10:40:59.345294,48
toriantobryant7516,We got to do better we got to think before we act,49,2020-11-13 10:40:59.345294,49
sawdust6148,"I could have understood if the officer shot once in the legs to disable the guy and subsequently detain him BUT HE SHOT HIM 3 FREAKING TIMES 3 TIMES

YOU DONT SHOOT SOMEONE 3 TIMES UNLESS YOU INTEND TO KILL THESE OFFICERS ARE TERRIBLY TRAINED",0,2020-11-13 10:40:59.345294,249
MyMotherWasaNinja,The bias is always in the edit Provide the full footage for the public to decide This is what transparency truth and credibility demands,0,2020-11-13 10:40:59.345294,140
whatabouttheearth,He might of been drunk and when they were gonna cuff him he drunkenly thought heres my chance to dip as any self respecting drunk person would at least think of,0,2020-11-13 10:40:59.345294,164
glenmassey3746,That was beyond unnecessary even if he had grabbed the stun gun he fired it rendering it useless and they had the car which made finding him easy There was no reason to even consider him a threat that was basically see a man go down unload your weapon,0,2020-11-13 10:40:59.345294,256
timildeepsPlatformgaming,I saw an individual resisting arrest then after that its anybodys guess The individual might have been reaching for an officers guntaser during the scuffle The point is he broke the law it could have been all avoided if he just complied and not resisted,0,2020-11-13 10:40:59.345294,261
debiekins4108,They had his car that could be traced to him and an arrest could have been made later The chase and shooting was absolutely unnecessary,59,2020-11-13 10:40:59.345294,136
katrinamail2me,They left out the non important part of the suspect taking the tazer from the officer running away and then firing the tazer at the officer  That video was released before this one,0,2020-11-13 10:40:59.345294,184
Logan-0120,Although this is an example of what a suspect should never do because its asking to be shot What a cop has to remember is that if someone is running away from you and you shot them than youre killing in retaliation to them resisting you The officer is not shooting the suspect in fear of his own survival,0,2020-11-13 10:40:59.345294,309
wilywascal2024,"Im really concerned that military has been brought in and the National Guard  I think thats a really radical step Lia Cheek 32 told Business Insider Part of me feels like its turning into a military state
Its a sign of who our president is  he likes to control he likes to bully and hes using our military and our people and our tax dollars to bully us and control us and thats not OK she added We need to keep protesting and using our voices",0,2020-11-13 10:40:59.345294,469
winaykumar6988,"Criminals dont follow Police instructions and run
Whats the point of having Laws if these people dont follow them
Salute to Police for dealing with these oddities",1,2020-11-13 10:40:59.345294,168
thesinzer,Thank you for teaching me what I saw,0,2020-11-13 10:40:59.345294,37
helenbuchanan1213,There is an issue with deadly force being used unnecessarily in some cases The Tony timpa Ethan saylor  cases illustrate it isnt necessarily racial It seems to effect all shades Usually people from economically disadvantaged backgrounds or with disabilities  vulnerabilities wrought through mental illness or addiction,14,2020-11-13 10:40:59.345294,326
solarpowerhome,"They leave out the part that he took a cops tazer tazed him then after fighting with the cops while running away fire the tazer at the other cop

Do you know how you dont get shot in a wendys parking lot when youre passed out drunk Dont fight with the cops then taze them",18,2020-11-13 10:40:59.345294,283
